"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"HCK",2.68618858084628e-15,0.260958729494672,0.886,0.81,5.05513829029462e-11
"C15orf48",2.84720918054097e-15,0.470586585497216,0.32,0.21,5.35816295686005e-11
"CXCL5",3.94002920553737e-15,0.588313712739226,0.243,0.126,7.41474096190078e-11
"P2RX7",4.90714468899326e-15,0.322449722194874,0.528,0.446,9.23475559021641e-11
"SOD2",5.32227818516225e-15,0.671349204717917,0.808,0.732,1.00159953166568e-10
"NSA2",5.4440885297332e-15,0.278689600951298,0.877,0.836,1.02452302041049e-10
"EVI5",7.25899167589956e-15,-0.303755682351092,0.931,0.957,1.36606964348754e-10
"NEXN",9.17012527571522e-15,0.303387464858786,0.449,0.349,1.72572587563685e-10
"SARS",1.04276975458532e-14,0.275312926915894,0.56,0.494,1.96238840115411e-10
"PDIA3",1.04758761706859e-14,0.261348183065875,0.915,0.876,1.97145513656139e-10
"STAT1",1.44054851759718e-14,0.285751068000367,0.842,0.79,2.71096825526614e-10
"PCOLCE2",3.87972490396193e-14,-0.323143960044744,0.496,0.618,7.30125429676595e-10
"MALAT1",1.02129544107005e-13,0.337504748163191,0.999,0.999,1.92197589054973e-09
"AQP9",1.08856447360179e-13,0.296756428336414,0.511,0.468,2.04856948287121e-09
"ARF6",1.16373276009338e-13,0.25894929475975,0.817,0.752,2.19002868121973e-09
"OAS3",1.17612548777165e-13,0.275892351110356,0.554,0.457,2.21335055543747e-09
"APP",2.12068190030251e-13,0.273651467633797,0.489,0.352,3.99091126817929e-09
"ARRDC3",2.63342394915311e-13,0.275800251834956,0.305,0.207,4.95584052991123e-09
"ZBTB7C",3.03512238463717e-13,-0.359089636279031,0.334,0.469,5.71179681564869e-09
"CLEC12A",3.14711149763701e-13,0.29754055429599,0.871,0.822,5.92254912740309e-09
"IL1B",3.35785798044129e-13,-0.358892527807717,0.304,0.425,6.31915293339246e-09
"CD58",3.73327468367104e-13,0.262384239498196,0.863,0.809,7.02564962720053e-09
"CCL3",4.3378537560713e-13,0.86006627691322,0.204,0.12,8.16340698355058e-09
"FTL",5.11922519515588e-13,-0.278004974993495,1,1,9.63386989476384e-09
"PIM1",5.47940372217631e-13,0.277173128272382,0.452,0.344,1.03116898647636e-08
"UQCRB",6.60590702456731e-13,0.26767197127973,0.981,0.965,1.24316564295332e-08
"MS4A6A",8.7660182800002e-13,0.300005204974084,0.908,0.858,1.64967698011324e-08
"TRPS1",1.0507056445555e-12,0.368728618987612,0.784,0.727,1.977322952489e-08
"ANO5",1.17760043580588e-12,-0.302787527053586,0.544,0.657,2.21612626014309e-08
"PALLD",1.52215258129678e-12,-0.353972726617776,0.312,0.416,2.86453894274241e-08
"TNFSF13B",1.7169913934495e-12,0.254009779030715,0.706,0.588,3.23120610333261e-08
"RIN2",1.94242162881124e-12,0.260448076624398,0.588,0.508,3.65544326325987e-08
"TMEM123",2.25824732616521e-12,0.25435121410704,0.849,0.801,4.24979564311031e-08
"SQSTM1",2.82158247375257e-12,0.290512779160286,0.874,0.854,5.30993605735496e-08
"ANPEP",3.6340211018353e-12,0.281101098404774,0.531,0.422,6.83886431154384e-08
"CHST11",4.5878800283452e-12,0.3200707542587,0.741,0.655,8.63393142534284e-08
"GNG11",6.67393977215635e-12,-0.317470352074675,0.168,0.245,1.2559687257221e-07
"HIST1H1E",6.8006935871731e-12,0.36401528081853,0.508,0.412,1.27982252617011e-07
"LIPA",7.90872014948089e-12,-0.304970941920438,0.8,0.781,1.48834204493081e-07
"EPSTI1",8.5778349169758e-12,0.29179232724001,0.866,0.826,1.61426275302568e-07
"BCL2A1",1.1262510300852e-11,0.340047105932838,0.747,0.683,2.11949181351734e-07
"IFIT3",1.158872228542e-11,0.342487422122072,0.787,0.738,2.18088164689318e-07
"SLC22A15",1.37632276033859e-11,0.275172129026376,0.553,0.453,2.59010180268119e-07
"SP110",1.98026332593467e-11,0.259235580446322,0.741,0.643,3.72665755307645e-07
"ATF3",2.01417568873968e-11,0.27251729640282,0.366,0.264,3.7904772286392e-07
"RBP4",2.29341562368528e-11,-0.352183227088616,0.647,0.739,4.31597886221334e-07
"GBP1",3.0153780824036e-11,0.341926944297842,0.701,0.639,5.67464001327533e-07
"SLCO3A1",4.79372049902854e-11,0.264949627873521,0.853,0.807,9.02130260712181e-07
"H1FX",4.80548997849605e-11,0.361500478166263,0.664,0.627,9.04345159053171e-07
"LMNB1",5.1412877591489e-11,0.260331752212133,0.704,0.617,9.67538943394232e-07
"IFIH1",5.58686979139695e-11,0.257007191141624,0.532,0.467,1.05139302604299e-06
"H3F3B",7.42837451010352e-11,0.26197854087683,0.993,0.996,1.39794579905638e-06
"FBN1",1.49895282801159e-10,-0.256046767171828,0.109,0.173,2.82087932703501e-06
"SOX4",1.82095165548572e-10,0.252297541731132,0.527,0.429,3.42684892045858e-06
"S100A9",2.55534369941341e-10,0.309755958090736,0.98,0.973,4.8089013079261e-06
"CXCL8",3.36414354068484e-10,0.724715274898533,0.466,0.434,6.33098172921479e-06
"PLAC8",6.41196579069841e-10,0.367720697362482,0.719,0.66,1.20666784215153e-05
"CAMP",7.45109545728062e-10,-0.283217195339076,0.211,0.32,1.40222165410564e-05
"ITSN1",8.43277268924553e-10,-0.250200450555394,0.46,0.575,1.58696349238912e-05
"SNX10",1.30199858164998e-09,0.258773446289111,0.993,0.99,2.4502311308071e-05
"VMP1",1.37512795365226e-09,0.26438089342422,0.897,0.873,2.58785329597819e-05
"CSTA",1.88214357481731e-09,0.290845003762644,0.872,0.843,3.54200599344869e-05
"ANXA1",2.2216444162943e-09,0.280363224018466,0.999,0.999,4.18091262702425e-05
"PSD3",2.26949125806665e-09,0.412680314400089,0.705,0.638,4.27095559855562e-05
"ACSM3",2.41797267294616e-09,-0.287738570480319,0.823,0.872,4.55038277321738e-05
"MGST1",2.92530588488343e-09,0.282278333845939,0.794,0.739,5.50513314476212e-05
"SNTB1",3.38535287143888e-09,0.261163471281196,0.885,0.855,6.37089556876083e-05
"PLAUR",3.62760406232278e-09,0.261122189765659,0.875,0.848,6.82678808488525e-05
"SLC39A8",3.78011370387722e-09,0.338096628047782,0.28,0.208,7.11379597932654e-05
"KCNMA1",5.25659450451824e-09,-0.262344731579378,0.387,0.492,9.89238519805288e-05
"TNFSF10",5.91649226811242e-09,0.308628996128082,0.593,0.541,0.000111342467993608
"LMNA",6.74496073236241e-09,0.252044536575346,0.924,0.91,0.000126933416022328
"CD69",1.28841189627955e-08,0.301275032586123,0.35,0.261,0.000242466234760848
"RETN",4.47087603445799e-08,0.326482644131714,0.923,0.906,0.000841374160924649
"CCL4",5.71627993952927e-08,0.991678854168806,0.168,0.114,0.00107574672182001
"RSAD2",8.04071975654464e-08,0.25607175068162,0.228,0.16,0.00151318305098414
"ELL2",9.08189415473812e-08,-0.26299806667704,0.774,0.809,0.00170912166098017
"IFI27",1.2304951054812e-07,0.63878060834323,0.468,0.363,0.00231566873900508
"ADAMTSL4-AS1",1.47558230846281e-07,-0.25488707398959,0.365,0.458,0.00277689834629616
"SPRED1",2.10975608803967e-07,0.278181044724272,0.695,0.614,0.00397034998208185
"CCL18",2.4254221092483e-07,0.504373367238209,0.843,0.824,0.00456440186739437
"AC092691.1",3.40365466231072e-07,-0.296507248488747,0.868,0.909,0.00640533770900254
"MIR924HG",8.33367005448655e-07,0.252558939751842,0.611,0.512,0.0156831336755382
"KYNU",8.67447441346088e-07,0.256578986745028,0.872,0.833,0.016324493398692
