"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ANPEP",8.13363557300624e-26,0.295309009660328,0.653,0.677,2.07326370755929e-21
"PLIN2",2.51919458925223e-16,0.293779860899447,0.966,0.965,6.42142700800393e-12
"HLA-B",8.40086278065459e-20,0.293750961184193,1,1,2.14137992278885e-15
"POLR2L",1.24539937823076e-33,0.291950261952942,0.879,0.848,3.1745230151102e-29
"MMP24OS",1.11344464814099e-40,0.291576055931218,0.608,0.492,2.83817040811138e-36
"AC011586.2",3.62589023475171e-28,0.290829893964326,0.759,0.632,9.24239420838211e-24
"AGPAT2",1.75211285367426e-40,0.290092746471852,0.521,0.408,4.4661356640157e-36
"TBC1D2",1.41164524496836e-32,0.28579135886185,0.608,0.507,3.59828372942435e-28
"KCNMA1",7.93668704945312e-19,0.285132989707354,0.575,0.593,2.0230615289056e-14
"APBB2",2.47759498219242e-33,0.284971702427451,0.419,0.27,6.31538960960848e-29
"S100A11",6.67725975750311e-09,0.281895849805813,1,1,0.000170203351218754
"CD59",1.14342341803802e-21,0.280074944027554,0.782,0.746,2.91458629257891e-17
"RMDN3",4.06750203417109e-29,0.278872375216242,0.849,0.779,1.03680626851021e-24
"ATP6V1F",9.02304845172311e-16,0.278527119413973,0.95,0.951,2.29997505034422e-11
"ACTN4",1.41683993899971e-33,0.27785619478395,0.752,0.664,3.61152500451026e-29
"EFHD2",2.17084342923755e-22,0.271181302672109,0.919,0.935,5.5334799011265e-18
"BLOC1S1",1.42845836549784e-25,0.27113679284229,0.839,0.818,3.64114037365398e-21
"PSME4",3.49107246881369e-14,0.270104971286178,0.815,0.767,8.8987437230061e-10
"SDSL",2.91646721424112e-37,0.269052022939508,0.334,0.247,7.43407492910061e-33
"TMBIM1",5.17536717780411e-24,0.268714518034304,0.675,0.597,1.31920109362227e-19
"FAM162A",2.49716106447778e-28,0.268588373793265,0.562,0.455,6.36526355335386e-24
"SERF2",1.12336143309021e-16,0.268392299523979,1,0.999,2.86344829294694e-12
"VGLL3",2.82822943110009e-34,0.266540428592188,0.208,0.094,7.20915681987414e-30
"SPOCD1",5.71758260418251e-30,0.265428379334594,0.333,0.207,1.45741180580612e-25
"LPCAT3",2.98399198891813e-30,0.262042637574799,0.531,0.419,7.60619557975233e-26
"FTL",1.1378847559367e-28,0.259231906489232,1,1,2.90046824288264e-24
"NDUFA13",1.03664896080383e-20,0.258864830786748,0.919,0.909,2.64241820108896e-16
"RSAD2",2.17555424085471e-10,0.258547530890398,0.211,0.187,5.54548775993866e-06
"AKR1C2",3.68979483378867e-37,0.258109422726995,0.2,0.088,9.40528703132732e-33
"PSMB9",1.13700058015095e-23,0.256222382066464,0.607,0.535,2.89821447880476e-19
"EPB41L1",1.97090607526474e-19,0.256059898749155,0.518,0.439,5.02383958584982e-15
"SEPTIN9",1.67044643787997e-19,0.255408963601308,0.845,0.815,4.25796797015604e-15
"ABCG2",3.0982405112538e-21,0.254847881767019,0.438,0.344,7.89741506318595e-17
"GLIPR2",2.53938946662671e-17,0.254579348602778,0.954,0.947,6.47290375043149e-13
"ITIH5",1.02929460012594e-22,0.254494010876322,0.415,0.297,2.62367193572102e-18
"ACYP2",1.6567625907119e-16,0.254244665589298,0.8,0.723,4.22308784372464e-12
"ZBTB7C",1.18854866578063e-20,0.25138326538859,0.367,0.253,3.02961054907482e-16
