"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ARID5B",2.56567028959776e-44,-0.471630994346934,0.304,0.468,6.53989356818469e-40
"PLAC8",2.96095351080194e-34,-0.470852508571279,0.224,0.347,7.54747049903415e-30
"SLC16A10",2.71124725997762e-10,-0.462270229128186,0.249,0.298,6.91096926568297e-06
"MMP2",1.26901091624816e-43,-0.461185737378308,0.353,0.466,3.23470882551655e-39
"LINC01091",2.58896238403185e-52,-0.458159123074369,0.187,0.365,6.59926511689717e-48
"SESTD1",3.52194439164424e-32,-0.455969395871834,0.644,0.725,8.97743625430116e-28
"KYNU",2.14860923176284e-34,-0.450701808092088,0.932,0.964,5.47680493176348e-30
"MS4A6A",1.6655332018558e-42,-0.448026542310724,0.491,0.596,4.24544413153044e-38
"NR4A2",7.89979892930278e-42,-0.445457143616891,0.252,0.36,2.01365874707928e-37
"THBS1",1.34017288169523e-29,-0.445322339101188,0.158,0.256,3.41610067544114e-25
"C15orf48",4.28953895144656e-45,-0.440611054427638,0.592,0.74,1.09340347872373e-40
"NBN",8.16156243429767e-35,-0.440195319000993,0.685,0.764,2.08038226450248e-30
"MIR155HG",6.53378234881891e-24,-0.436042192003352,0.29,0.344,1.66546112071394e-19
"MNDA",1.36633782213128e-50,-0.430572040297958,0.888,0.918,3.48279510861264e-46
"PLEK",1.85996977905591e-27,-0.429250654741544,0.874,0.903,4.74106296681352e-23
"LINC00607",3.01397206219289e-27,-0.429249605130457,0.362,0.45,7.68261478652969e-23
"TNIP3",1.74292975776174e-15,-0.426045082739063,0.408,0.483,4.44272795253467e-11
"PNRC1",5.87334288529122e-39,-0.422129701916433,0.833,0.889,1.49711510146073e-34
"AC009313.1",1.9165452207079e-57,-0.419079213882976,0.139,0.287,4.88527376758443e-53
"RIPK2",1.68526863340664e-26,-0.411397443208988,0.523,0.593,4.29574974655353e-22
"AQP9",1.2163289411182e-44,-0.405355746301654,0.858,0.913,3.10042247091028e-40
"MXD1",2.43825652517752e-40,-0.400541644379751,0.288,0.395,6.21511588267751e-36
"ZFAND5",3.65669415167315e-59,-0.397367279450508,0.81,0.848,9.32091339261486e-55
"ANKUB1",3.11968391926461e-47,-0.396833985017386,0.584,0.711,7.95207431020548e-43
"ZFP36L1",8.53855965115115e-31,-0.395936522882724,0.53,0.607,2.17647885507843e-26
"TNIK",6.473752078658e-23,-0.385723062798229,0.76,0.821,1.65015940484993e-18
"CD14",1.51932125080857e-42,-0.384711853430257,0.722,0.809,3.87274986831105e-38
"MIR3142HG",6.67023104409501e-29,-0.374026325183923,0.103,0.184,1.70024189313982e-24
"CLEC4D",2.10337600308758e-78,-0.374014280650774,0.123,0.309,5.36150543187025e-74
"IGF2BP3",2.09576014619013e-73,-0.368419970248326,0.161,0.356,5.34209261263864e-69
"SOX4",3.04146261734148e-32,-0.365781492250159,0.318,0.445,7.75268821160342e-28
"FGD4",8.22543989977204e-31,-0.364519226001631,0.697,0.757,2.09666463045189e-26
"RASGEF1B",3.82493408207012e-43,-0.359844762671978,0.865,0.909,9.74975697519673e-39
"TLR2",7.99110205789911e-45,-0.358825582275896,0.243,0.388,2.03693191455848e-40
"DOCK4",2.79198072675539e-25,-0.355956516755376,0.748,0.826,7.1167588724995e-21
"LCP1",1.68414825577842e-70,-0.355168633404605,0.987,0.995,4.2928939039792e-66
"TFRC",2.5761228187762e-31,-0.352496836850007,0.985,0.992,6.56653706506054e-27
"ALDH1A2",2.30227327693113e-24,-0.352279340614066,0.489,0.576,5.86849458289746e-20
"ICAM1",7.26543273831977e-27,-0.351853152692115,0.413,0.522,1.85195880499771e-22
"CITED2",8.22575668699443e-33,-0.349289994129107,0.607,0.67,2.09674537951488e-28
"AC022217.3",1.55333756943314e-29,-0.348101458958612,0.334,0.438,3.95945746448507e-25
"MAP3K7CL",8.38860552479248e-54,-0.344850587480274,0.147,0.304,2.1382555482696e-49
"PSTPIP2",1.20461396073634e-22,-0.338448576456796,0.322,0.425,3.07056098591694e-18
"HNRNPC",7.84052078701464e-49,-0.338412521999764,0.952,0.971,1.99854874861003e-44
"AL512603.2",5.38633575242996e-13,-0.33801673241986,0.316,0.368,1.3729769832944e-08
"MCL1",1.6091560350326e-42,-0.335052715691843,0.833,0.891,4.10173873329809e-38
"AC011511.2",5.6376955099629e-49,-0.334053295507473,0.081,0.206,1.43704858548954e-44
"PTX3",2.76520776933424e-23,-0.333191593863046,0.086,0.163,7.04851460403299e-19
"NR4A1",2.58007617821573e-46,-0.331815772849685,0.132,0.251,6.57661417827189e-42
"TSC22D2",6.30337003655561e-17,-0.327621078430804,0.591,0.619,1.60672902231802e-12
"ARL8B",1.12576796347913e-37,-0.325430049220712,0.832,0.893,2.8695825389083e-33
"TAGAP",3.32863350848724e-54,-0.323690399539887,0.135,0.279,8.48468681313398e-50
"SIRPB1",4.18150462893483e-47,-0.319343552792451,0.412,0.545,1.06586552991549e-42
"ATP2B1",2.75984379730443e-21,-0.318231349372792,0.941,0.935,7.034841839329e-17
"BTG1",1.40081723457236e-23,-0.317226866746714,0.639,0.712,3.57068313092494e-19
"AC020656.1",1.71223104272724e-68,-0.316072682855948,0.86,0.963,4.36447692791174e-64
"NFKBID",2.47422643429984e-39,-0.315128085315583,0.16,0.282,6.3068031810303e-35
"GCH1",4.40098588729389e-21,-0.314596129795059,0.41,0.496,1.12181130267121e-16
"VCAN",7.87897511085049e-14,-0.314295213281058,0.259,0.328,2.00835075575579e-09
"SPRED1",3.68327121243837e-19,-0.310252694538875,0.639,0.716,9.38865832050541e-15
"IL18",6.87747135845886e-19,-0.309279844955808,0.632,0.692,1.75306744927116e-14
"HNMT",8.55961527643577e-48,-0.308523475907646,0.915,0.942,2.18184593396348e-43
"SLFN11",5.17776859453091e-39,-0.307436418099781,0.521,0.627,1.31981321474593e-34
"PTPRC",4.87005317687764e-61,-0.307381956285572,0.996,0.997,1.24137655478611e-56
"IER5",2.30560586747829e-32,-0.306581136986228,0.404,0.496,5.87698935620216e-28
"RETN",2.48165270506261e-21,-0.30619771910253,0.625,0.722,6.32573274520459e-17
"DMXL2",1.77343348818833e-32,-0.306181598779636,0.915,0.946,4.52048196139206e-28
"LINC00910",6.78456689098401e-44,-0.299248583377505,0.126,0.251,1.72938610051182e-39
"AC103591.3",1.29875536824607e-48,-0.297952804231545,0.108,0.232,3.31052743365922e-44
"AP003086.1",1.07257570945556e-28,-0.296528566318309,0.517,0.61,2.73399548340223e-24
"PPP1CB",2.23931103245827e-38,-0.296257851434441,0.833,0.883,5.70800382173612e-34
"S100P",9.36709816285654e-27,-0.296100502315476,0.161,0.267,2.38767332171213e-22
"MMP2-AS1",3.93349468962988e-17,-0.296077039275218,0.569,0.602,1.00264779638666e-12
"BHLHE41",4.25625426601763e-30,-0.295527114569978,0.698,0.786,1.08491921240789e-25
"DLEU2",3.8022546976592e-22,-0.295022617949547,0.797,0.864,9.69194722433329e-18
"KMO",1.39499341892512e-14,-0.294977945874777,0.747,0.781,3.55583822484014e-10
"NFE2L2",4.3268216952432e-36,-0.293716108925667,0.92,0.942,1.10290685011749e-31
"CHST11",1.64066902527716e-21,-0.291187146142056,0.738,0.825,4.18206534543148e-17
"SLC8A1-AS1",1.09175973013558e-29,-0.289560002834028,0.375,0.486,2.7828955521156e-25
"ITGAM",6.49884724324615e-36,-0.288791184678008,0.297,0.432,1.65655616230344e-31
"CPVL",5.2659704016134e-35,-0.288480062706967,0.752,0.822,1.34229585537125e-30
"LRMDA",9.88263369982194e-28,-0.288051902396726,0.964,0.983,2.51908333008461e-23
"SRGN",1.15330170767064e-51,-0.286820649149469,0.997,1,2.93976605285247e-47
"SGK1",1.90427377677718e-17,-0.28679778589743,0.571,0.608,4.85399385700502e-13
"FBP1",1.05118771427117e-21,-0.286618661352997,0.941,0.951,2.67947748367721e-17
"OTUD1",1.53901857278049e-17,-0.286254601703821,0.584,0.615,3.92295834201746e-13
"AC026202.2",8.49166106262158e-35,-0.285391311499614,0.291,0.404,2.16452440486224e-30
"PLA2G4A",3.98055271108683e-16,-0.284915038237398,0.363,0.451,1.01464288605603e-11
"PLEKHG2",1.03916205574987e-35,-0.283375837208169,0.063,0.155,2.64882408010642e-31
"ATP2C1",4.19215148170988e-21,-0.278707983714351,0.875,0.916,1.06857941268785e-16
"TAOK3",1.8895203114727e-24,-0.278285918087604,0.964,0.971,4.81638727394392e-20
"CTSS",2.9531057783353e-41,-0.277247129603615,1,1,7.52746662897667e-37
"ADAM10",1.11511636449657e-31,-0.276771936935051,0.835,0.893,2.84243161310175e-27
"TANK",4.91993199997846e-19,-0.276723299065218,0.771,0.82,1.25409066679451e-14
"LTA4H",7.44498750746438e-36,-0.275657365739362,0.975,0.982,1.89772731565267e-31
"MSR1",4.46731845633669e-32,-0.275137220579135,1,0.997,1.13871947452022e-27
"QKI",1.14938926154518e-26,-0.274755600221792,0.973,0.981,2.92979322767866e-22
"RGS2",4.79061513846589e-31,-0.274477426380743,0.06,0.138,1.22112779879496e-26
"MCEMP1",4.66177472002344e-29,-0.274274589701045,0.714,0.82,1.18828637613398e-24
"DDX5",1.39007277566855e-46,-0.273195323541923,0.994,0.997,3.54329550517914e-42
"CPEB4",4.44388147348627e-30,-0.272734973959297,0.804,0.859,1.13274538759165e-25
"BMP2K",5.63316828622764e-24,-0.272217224377749,0.686,0.75,1.43589459615943e-19
"SKIL",1.18317981914303e-35,-0.270544405284078,0.754,0.832,3.01592535899559e-31
"KCTD12",5.7175451123687e-30,-0.268256741482582,0.703,0.791,1.45740224914278e-25
"NRP2",4.87823027496291e-34,-0.267827481944467,0.673,0.638,1.24346089708805e-29
"ATP2B1-AS1",9.36109893802443e-30,-0.267085822265616,0.285,0.39,2.38614411930243e-25
"CD44",3.52684324712075e-32,-0.264504605682072,0.994,0.997,8.9899234369108e-28
"HIF1A-AS3",3.15312610802007e-24,-0.262884692049065,0.278,0.393,8.03731844934317e-20
"HSP90B1",5.17749432512689e-23,-0.261461137325729,0.964,0.982,1.31974330347484e-18
"HBEGF",8.78319530446058e-13,-0.2610772491338,0.276,0.338,2.238836483107e-08
"RIN2",1.07006196747197e-25,-0.258638156061683,0.472,0.571,2.72758795508604e-21
"ARRDC4",1.25868571166258e-17,-0.257343995344638,0.512,0.591,3.20838987902791e-13
"C3AR1",4.22384002776819e-31,-0.257214502726433,0.515,0.654,1.07665682307811e-26
"CD69",3.34622134975911e-17,-0.256071985640517,0.082,0.138,8.52951822053598e-13
"ZDHHC20",3.16132438513346e-26,-0.254898121443466,0.651,0.741,8.05821585770519e-22
"ELL2",2.70236156156456e-15,-0.254883380137021,0.755,0.816,6.88831962042806e-11
"PAG1",7.72749442246017e-18,-0.254257941872734,0.754,0.806,1.9697383282851e-13
"UAP1",7.6860611987529e-20,-0.251276875404653,0.239,0.307,1.95917699956211e-15
