"","estimate",".y.","group1","group2","n1","n2","statistic","p","conf.low","conf.high","method","alternative","p.adj","p.adj.signif"
"1",0.0665384288562032,"Cluster5","all","Mono",17584,1819,19879873.5,1,-Inf,0.0728554701698296,"Wilcoxon","less",1,"ns"
"2",-0.214809548757034,"Cluster5","all","MDM-IV",17584,642,2465099,1.6e-130,-Inf,-0.202239442624388,"Wilcoxon","less",5.6e-130,"****"
"3",0.0543810400092033,"Cluster5","all","MDM-FABP4lo",17584,3620,38490690,1,-Inf,0.0589227568277978,"Wilcoxon","less",1,"ns"
"4",0.0285425453806798,"Cluster5","all","MDM-FABP4hi",17584,4792,47115986,1,-Inf,0.0323163661243803,"Wilcoxon","less",1,"ns"
"5",0.0531021327778166,"Cluster5","all","MDM-inflam",17584,1055,11131501.5,1,-Inf,0.0611791192102446,"Wilcoxon","less",1,"ns"
"6",-0.161068066446627,"Cluster5","all","MDM-PLA2G7hi",17584,3490,17558240,0,-Inf,-0.154762694909271,"Wilcoxon","less",0,"****"
"7",-0.0157520027535603,"Cluster5","all","IM",17584,2166,17957138,7.16e-06,-Inf,-0.009783813051972,"Wilcoxon","less",1.67e-05,"****"
