"","estimate",".y.","group1","group2","n1","n2","statistic","p","conf.low","conf.high","method","alternative","p.adj","p.adj.signif"
"1",0.0377616852374046,"Cluster3","all","Mono",17584,1819,18101420.5,1,-Inf,0.0447377929459704,"Wilcoxon","less",1,"ns"
"2",-0.269721139540522,"Cluster3","all","MDM-IV",17584,642,2132735,9.94e-159,-Inf,-0.256329120019102,"Wilcoxon","less",2.32e-158,"****"
"3",0.0843286361704775,"Cluster3","all","MDM-FABP4lo",17584,3620,41574276,1,-Inf,0.0894086962270979,"Wilcoxon","less",1,"ns"
"4",0.122799963471003,"Cluster3","all","MDM-FABP4hi",17584,4792,61255821,1,-Inf,0.127301218397595,"Wilcoxon","less",1,"ns"
"5",-0.0434177077438511,"Cluster3","all","MDM-inflam",17584,1055,8013780.5,5.31e-14,-Inf,-0.0341139301614331,"Wilcoxon","less",9.29e-14,"****"
"6",-0.269028624271102,"Cluster3","all","MDM-PLA2G7hi",17584,3490,11671443,0,-Inf,-0.262843981558619,"Wilcoxon","less",0,"****"
"7",-0.138340718113958,"Cluster3","all","IM",17584,2166,11849052,7.07e-182,-Inf,-0.131230336870741,"Wilcoxon","less",2.47e-181,"****"
