"","estimate",".y.","group1","group2","n1","n2","statistic","p","conf.low","conf.high","method","alternative","p.adj","p.adj.signif"
"1",0.0761267622797909,"Cluster4","all","Mono",17584,1819,19784601.5,1,-Inf,0.0839611424590099,"Wilcoxon","less",1,"ns"
"2",-0.196827795562928,"Cluster4","all","MDM-IV",17584,642,3055646,2.7e-87,-Inf,-0.182752168368418,"Wilcoxon","less",9.45e-87,"****"
"3",0.0916771276957433,"Cluster4","all","MDM-FABP4lo",17584,3620,40976028,1,-Inf,0.0974359909486445,"Wilcoxon","less",1,"ns"
"4",0.102170539505122,"Cluster4","all","MDM-FABP4hi",17584,4792,55902910,1,-Inf,0.10720406043763,"Wilcoxon","less",1,"ns"
"5",-0.0255126864957399,"Cluster4","all","MDM-inflam",17584,1055,8605669.5,3.97e-05,-Inf,-0.0149598538803115,"Wilcoxon","less",6.95e-05,"****"
"6",-0.335800740792311,"Cluster4","all","MDM-PLA2G7hi",17584,3490,11342888,0,-Inf,-0.328002330147008,"Wilcoxon","less",0,"****"
"7",-0.0880513178319132,"Cluster4","all","IM",17584,2166,14930785,6.22e-61,-Inf,-0.0794516003431509,"Wilcoxon","less",1.45e-60,"****"
