"","estimate",".y.","group1","group2","n1","n2","statistic","p","conf.low","conf.high","method","alternative","p.adj","p.adj.signif"
"1",0.0325116676430584,"Cluster2","all","Mono",17584,1819,17481495.5,1,-Inf,0.0411453688337765,"Wilcoxon","less",1,"ns"
"2",-0.126007082603855,"Cluster2","all","MDM-IV",17584,642,3964064,5.38e-38,-Inf,-0.111588754582743,"Wilcoxon","less",9.42e-38,"****"
"3",0.113664808225904,"Cluster2","all","MDM-FABP4lo",17584,3620,43650782,1,-Inf,0.120142298990543,"Wilcoxon","less",1,"ns"
"4",0.152660893898655,"Cluster2","all","MDM-FABP4hi",17584,4792,64139049,1,-Inf,0.158395618656364,"Wilcoxon","less",1,"ns"
"5",-0.163509739964009,"Cluster2","all","MDM-inflam",17584,1055,5713244.5,4.47e-98,-Inf,-0.152188554910406,"Wilcoxon","less",1.04e-97,"****"
"6",-0.306331953076335,"Cluster2","all","MDM-PLA2G7hi",17584,3490,11124829,0,-Inf,-0.299549240592134,"Wilcoxon","less",0,"****"
"7",-0.255398844684653,"Cluster2","all","IM",17584,2166,8525064,0,-Inf,-0.247199838789037,"Wilcoxon","less",0,"****"
