"","Condition2","PC1","PC2"
"eAIR011","C",-3.21061571182462,0.352682665792356
"eAIR035","C",0.678734201312332,0.915470620554906
"eAIR036","C",6.76227375022731,-1.21495359108031
"eAIR045","C",1.18578725973187,2.3789141944253
"eAIR046","C",-6.10301968807365,-3.82733401789556
"M1C118","CFB",0.886588340265124,-6.1425179027729
"M1C122(1)","CFB",-2.16505960674679,2.57426866197065
"M1C123(1)","CFN",-4.45011675299296,-1.97014793356544
"M1C125(1)","CFN",2.6916557909588,0.517604264429488
"M1C1265","CFN",-3.00734666534556,0.282613869369663
"M1C141F","CFB",-4.96491788474367,-2.64289030632501
"M1C152","CFN",6.03527785572123,-2.80294028261213
"M1C153(2)","CFN",-2.95686302354721,-1.40889288042311
"M1C154(1)","CFN",0.635817842349267,-0.940106701371167
"M1C156F","CFN",1.69915273301089,1.19390736676212
"M1C157","CFB",2.51616840825154,2.10101353997544
"M1C158","CFB",8.73259944847295,5.43633826914814
"M1C160(1)","CFB",-2.78668100923163,2.08940809826822
"M1C161","CFN",4.09766801145244,-1.65545214540812
"M1C162(1)","CFN",4.08809183069783,-0.906382829584866
"M1C166(1)","CFB",-5.71324731482665,2.06995271774481
"M1C168(1)","CFB",4.3992938014009,-0.410506540483717
"M1C170D","CFN",-2.80183663577348,-1.81887016066694
"M1C171","CFN",5.02878639952659,-1.18966082087881
"M1C172","CFN",-2.16643642250262,-1.24027588239043
"M1C174F","CFN",7.96577643709609,-0.402601793722099
"M1C175","CFN",-3.6989297153962,-0.524811345580248
"M1C176C","CFN",7.641970144274,0.308982707104293
"M1C177","CFN",0.0188802948739992,-3.61326789058371
"M1C178","CFN",2.64350783197034,2.33469380535645
"M1C179","CFN",-2.58786318568232,-0.335619573323812
"M1C180D","CFN",3.59755877400241,-0.972090378485234
"M1C181","CFN",0.200722016327286,0.00293123598867509
"M1C182B","CFN",1.29990482511694,-1.05455069950651
"M1C183C","CFN",-2.57011962848775,-3.34248330412233
"M1C184D","CFN",-5.45882649916603,-0.978268477414202
"M1C185","CFB",2.8698603431423,1.33225222284258
"M1C186C","CFN",6.54028518469257,-1.88331695789371
"M1C187B","CFB",3.02046847332877,-4.38544203349687
"M1C188","CFB",-0.726182381514898,-1.08888941410848
"M1C189B","CFN",-1.09314392568892,-0.0929513783619169
"M1C190C","CFB",3.67924465767926,0.28114978955257
"M1C191B","CFN",-3.66366101741207,-0.0762560012167872
"M1C192B","CFN",9.9730243639254,2.53059029061497
"M1C193C","CFN",2.16648617233152,0.0321758055578825
"M1C194A","CFN",6.32288768265796,-1.03380914299623
"M1C195A","CFN",2.21578826262283,-1.28297305768666
"M1C196B","CFB",3.8065068769286,1.20233413490448
"M1C198B","CFB",-2.09385888894927,1.50656901974716
"M1C199B","CFN",3.94090511928468,-2.48404307659285
"M1C201A","CFN",-6.62813499483286,0.0441020317231156
"M1C202A","CFN",7.4779628381002,-2.39178935986458
"M1C203A","CFN",0.807482405202374,-0.624179651962046
"M1C204B","CFN",2.7731938414173,0.664686067541789
"M1C207B","CFN",7.8713450837282,-1.22175126905875
"M1C208A","CFB",0.339300764040562,0.101056124708196
"M1C209A","CFB",-6.14690285268081,-0.250781120171618
"M1C210A","CFB",6.61905772906034,1.43215983471443
"M1C211A","CFN",-5.59040993198898,-0.629842724349449
"M1N047","C",3.73141619140823,3.08381448963676
"M1N048","C",-10.2771317192976,1.10847762996219
"M1N051","C",-0.0557534064293697,4.89584132273235
"M1N052","C",-3.20480610014697,3.00545994608875
"M1N055","C",-3.44300658594632,-1.46293213108227
"M1N058","C",-9.48806336706147,0.771219077504713
"M1N062","C",-4.72266373869298,1.79358154275784
"M1N063","C",-6.94075022928627,-1.1861455561301
"M1N066","C",-7.1304850625182,0.0793356123383606
"M1N075","C",-7.37192573604739,1.64193585624551
"M1N078","C",-0.100114132895183,1.95285639789484
"M1N080","C",-3.4632365744135,2.54061467640483
"M1N087","C",-0.0467959084750451,5.54060910942085
"M1N092","C",2.48690239858364,0.893845877866261
"M1N135","C",-9.11194500294994,0.301879095374025
"M1N141","C",-3.50748308360565,0.194400360144046
