"","."
"1","c(Min. = -0.29281580570171, `1st Qu.` = -0.17272185119454, Median = -0.131866407576665, Mean = -0.12467920835886, `3rd Qu.` = -0.0818369180372666, Max. = 0.221640390047002)"
"2","c(Min. = -0.286392082462538, `1st Qu.` = -0.141756295443279, Median = -0.0967143938427043, Mean = -0.0864218277298285, `3rd Qu.` = -0.0348925029462005, Max. = 0.182890745620868)"
"3","c(Min. = -0.309910568953158, `1st Qu.` = -0.192937155330466, Median = -0.152385835978839, Mean = -0.143418030492839, `3rd Qu.` = -0.109590222149377, Max. = 0.493632487914718)"
"4","c(Min. = -0.321401824369138, `1st Qu.` = -0.19520459288999, Median = -0.154906312029579, Mean = -0.133464059215494, `3rd Qu.` = -0.0918712041473055, Max. = 0.512042926417546)"
"5","c(Min. = -0.203283477060237, `1st Qu.` = 0.014086913150554, Median = 0.0903312732049403, Mean = 0.106818428748621, `3rd Qu.` = 0.191236247014254, Max. = 0.549252238424789)"
"6","c(Min. = -0.206339911188554, `1st Qu.` = 0.136986629988944, Median = 0.281201832062581, Mean = 0.281883821740471, `3rd Qu.` = 0.413280886051627, Max. = 0.986086810022635)"
"7","c(Min. = -0.203515738695358, `1st Qu.` = 0.0174547133678954, Median = 0.101230025703482, Mean = 0.124052666702551, `3rd Qu.` = 0.20592481688967, Max. = 0.660394742090712)"
