"Mono","MDM.IV","MDM.FABP4lo","MDM.FABP4hi","MDM.inflam","MDM.PLA2G7hi","IM"
"KCNQ1","HECTD2","C9orf16","NUPR1","NR4A3","CXXC5","BCL2L14"
"GGCT","RGS1","RASGRP2","PPP2R3A","NFKBID","GPR183","IFI27"
"TREM2","CHID1","ENPP4","ITGAL","CHST15","PAPSS2","RHOH"
"STX10","SSBP2","SIRPB2","CCND3","PPIF","TRAF5","UBE2S"
"LRRC8C","PRKN","TTC39B","STMN1","MCOLN2","TDP2","ST3GAL5"
"NLRC4","CRYL1","CD151","AGRP","SLAMF7","TMEM251","TRIM5"
"CD300LF","FARP1","MRPS15","DNAAF4","ADGRE2","IL6R","PRLR"
"QPCT","CYBRD1","TMEM131L","SIRPB1","PIM3","KLHL6","ZBP1"
"KLF9","MB21D2","AGPAT2","MINK1","SLC25A37","TYW1B","DYSF"
"PYCARD","LINC01094","SELPLG","ALDH3A2","MARCH3","ZC3H12C","TENT4A"
"ANTXR2","TMEM117","EIF4EBP1","JAML","PLCB1","LILRB4","CBWD2"
"NEDD9","MEF2C","NLRC4","RAC2","NINJ1","FGR","IL27"
"SIRPB2","AKR1B1","TKT","SORT1","SMAD3","DDI2","PIM3"
"CD302","CMKLR1","PEX14","TSEN2","BCL3","IL1RN","ARHGAP12"
"CLEC4A","FHAD1","ATP1B1","ITGB8","PDSS1","PLXNC1","SDS"
"LSM4","ANTXR2","PCSK5","CAT","CD300E","ARID5B","HPSE"
"ZSWIM7","SNCA","MINK1","PEX14","MAFF","CBLB","CCL4"
"WDR74","MIR99AHG","CARS2","CDC42BPB","APOBEC3A","FMN1","IRAK2"
"NAA38","RCBTB2","MPHOSPH6","VWA8","CD48","WIPI1","SCIN"
"DPYD-AS1","SERPINF1","PEBP1","RHBDD2","MCTP2","NPL","IFIT2"
"TKT","ESR1","GPR65","IPCEF1","SDC4","EIF2AK3","TCN2"
"MRPS24","PCNX2","MRPL34","RBMS2","ACSL5","ZMIZ1-AS1","TIFA"
"DNAJC10","DPYSL3","FRMD4A","CPED1","PFKFB3","DYSF","CD300E"
"MRPL34","FUCA1","IPCEF1","AL365361.1","CSRNP1","PLCL1","MAP3K7CL"
"CMSS1","C1orf54","TOMM5","TRPV2","MTF1","DUSP10","MCOLN2"
"RARA","STMN1","CD302","TGM2","FYN","RSAD2","OAS3"
"TMX4","SGPP1","ALDH1A1","MLPH","CD274","SEMA3C","SAMD4A"
"SARS","OTULINL","PCED1B","STK39","IL4I1","ITGAX","KIAA1958"
"FAR2","RNF135","TREM1","QSOX1","MYLIP","RAB20","OAS1"
"RGS18","RAPH1","LSM6","ARRDC4","XYLT1","HIF1A-AS3","NADK"
"EGR1","TSPAN15","NDUFS3","PTPMT1","CCRL2","CD84","SRGAP2C"
"C1QBP","PLD3","CYP27A1","ABCG1","CYTOR","PPIF","TMEM140"
"MTHFD1L","TMOD2","MIR99AHG","SGPP1","LGALS2","NRIP3","APOBEC3G"
"MICOS13","PON2","FIG4","CDC42EP3","POU2F2","LINC00513","RHBDF2"
"CCDC112","FMN1","OSBPL11","GAA","PHLDA2","CD59","CCL3"
"NDUFB7","CD59","TNFSF13","ADAMTSL4","ERN1","ADGRE2","CMKLR1"
"RCBTB2","CPED1","QSOX1","TMEM131L","SLC20A1","TNFRSF1B","PARP11"
"ATP5IF1","GFRA2","SCD","RETREG1","NFKB2","ADAM8","BIRC3"
"LAT2","PTPRO","LRPAP1","PTPRM","MRPS6","SGPL1","GMPR"
"TUT4","ABCC5","CXCL3","DST","EREG","FNIP2","AIM2"
"RASSF2","ZNF618","LY86","PLA2G15","VPS37B","PLBD2","HEG1"
"IL27RA","GPR183","CR1","MCEMP1","SH3PXD2B","PRKAG2","LMTK2"
"TMEM43","STX2","RAC2","DISP1","UBTD2","ZCCHC14","TNFAIP6"
"SLCO2B1","RCSD1","ID3","SCCPDH","ATP2B1-AS1","VEGFA","C5orf56"
"VCAN","CLEC10A","POLR2I","DHRS3","PRDM1","SPIRE1","ABTB2"
"MEGF9","AXL","FABP4","C9orf16","SULF2","FDX1","BRIP1"
"TMTC2","TPCN1","ATP6AP1L","PRKN","SSBP3","SLC23A2","ETV7"
"SORL1","IGSF21","IRS2","PEBP1","HIVEP3","ENOSF1","GCH1"
"PRDX5","SLC39A10","SGMS2","APBB2","LDLRAD3","ZNF267","STIMATE"
"GTF3A","HLA-DQB2","ZYG11B","RETN","PURB","GNA12","ENPP2"
"C12orf57","TSPAN4","DCTN3","DIXDC1","JAK3","GNPDA1","HERC5"
"LINC01619","TBC1D14","CSTA","COLEC12","CD109","CT69","HSPA1B"
"TPRKB","FAM13A","ARL4A","CARS2","FCN1","EMP1","LIMK2"
"ALOX5AP","DST","BHLHE41","STAC","ATF5","CCRL2","APOL1"
"VIM-AS1","CCDC112","SLCO2B1","CITED2","PLK3","SDC4","PFKFB3"
"TNFSF13","OSBPL3","THBD","SVIL","EAF1","KIFC3","SRC"
"DTWD1","ADAMTSL4","PTPN22","SLC2A9","ANKLE2","PFKFB3","SLC30A4"
"LARS","RFX7","SLFN11","GCNT1","SPHK1","C15orf48","IGF2BP2"
"STK32B","SLC36A1","SIRPB1","ITSN1","ACVR2A","GPAT3","NT5C3A"
"MRPS34","FUT8","PYGL","OASL","GNA15","SLC39A8","NR4A3"
"CITED2","ATE1","DMAC1","MGST1","ENPP2","ACVR1","PPM1K"
"MPHOSPH6","NCK1-DT","MGMT","GPATCH11","NEDD9","MTSS1","SLFN12L"
"MARS","INPP5D","ATP5IF1","TNNI2","DENND3","PI4K2A","TAP2"
"NHP2","DSC2","NCF4","MDH1","KIFC3","ATF3","GIMAP7"
"LY86","TMEM163","SPNS1","C20orf27","SPRED2","ABHD12","GIMAP5"
"CPPED1","SLCO2B1","FAM200B","PTPN22","KMO","PDE4DIP","ATP10A"
"NDUFAB1","CCR6","TSEN2","EDEM2","MEFV","PHC2","TBC1D17"
"PIM1","ARMT1","PRDX5","TMEM173","SOCS3","RELB","TDRD7"
"TUBA1A","SLC16A10","F11R","DMAC1","ELOVL5","P2RX7","IL31RA"
"CRLS1","RGL1","PDK4","NFIA","IL6R","MANF","CDS2"
"GRK2","EMP1","MGST2","FOLR3","ZBTB43","SMIM29","JAK3"
"DUSP23","ADAP2","SCP2","CD151","BANP","TPD52L2","RUBCN"
"LRRC8D","RASSF2","FBXO9","PLAC8","ELL","STT3A","BTBD11"
"TMEM70","GALM","CORO2A","ACKR3","NECTIN2","KMO","RELB"
"IDH1","ST8SIA4","STXBP2","SLC47A1","RIPOR2","ATF5","BLZF1"
"CREB5","ZNF280D","PYURF","FIG4","PALM2-AKAP2","FGGY","MVB12B"
"ARL5A","CARMIL1","CYB5A","ECH1","LIMK2","DOP1B","NECTIN2"
"SLC7A1","PRKAR2B","NDUFB6","HEATR5B","RASSF5","TRAF3","FCGR1B"
"CD151","ENTPD1","ACOX1","HMOX2","SRGAP1","CYB5A","SPHK1"
"TARS","HACD4","DUSP23","SASH1","TNFRSF1B","SLC26A11","CCL4L2"
"CISD3","TNS1","FUCA1","RSPH3","MIR3945HG","SCD","PPIF"
"PMP22","EPB41L2","TMEM35B","PTPRO","BASP1","NTAN1","SLC25A37"
"FHAD1","EPHB2","KCNE3","LY86","PLEKHF2","OPTN","DHX58"
"CAT","SLC9A9","EIF2B3","ZYG11B","CD80","IFITM10","LILRB2"
"SNHG8","KDM2B","SHLD1","HCAR2","PGS1","NPC1","LILRB1"
"PPP1R14B","MICAL2","PYCARD","SIDT2","ZC3H12C","NLN","SLC41A2"
"P2RY13","CD93","COMT","ACOX1","FOSL2","DCXR","TAGAP"
"ATP2B4","NTAN1","BLVRA","BAG4","LAMP3","RNF145","ARID5A"
"SELPLG","LRRC8C","ACAT1","ITIH5","RASA3","SLC8B1","SEMA4A"
"HBEGF","PRUNE2","TMEM14C","PPIC","EIF2AK3","PPM1L","CCL2"
"SVIL","STARD13","GGA2","ARHGAP32","MTHFS","IRAK2","STX17"
"MDH2","EIF2AK4","DBNDD2","TMC6","ZNF267","TPST2","FBXO6"
"CPNE1","PARP1","RMDN3","TREM1","RUBCNL","PLEKHM2","CNP"
"TCF7L2","TPM1","PPCS","FRMD4A","SLC2A6","P2RX4","ADGRE2"
"CTDSP1","ZDHHC21","MRPL57","TMTC2","SBNO2","IL1R1","RNF19B"
"PUM3","DNM1","ANAPC15","APOL4","SLC25A33","AMZ1","RAB20"
"SREK1IP1","PMP22","PPP1CC","GGA2","GCH1","STX4","PI4K2B"
"PCED1B","FRMD4A","RGS19","POR","ANKRD22","HM13","USP6NL"
"RANBP1","DOK2","SEPTIN11","DOK2","ARID5A","ZNF385A","DDX58"
"IARS","CSF1R","POLR2K","PCED1B","LMNB1","B4GALT5","NFE2L3"
"STXBP5","IDH2","CMC1","TOMM5","SNHG16","HYOU1","SLC37A1"
"MRPL3","ZBTB38","POLD3","EPB41L1","RHOH","USF2","IFIT5"
"FLI1","PLXND1","PTPRO","PDGFD","ADAM28","MERTK","CASP5"
"SNHG32","PTK2","FFAR4","BLVRA","PLA2G7","TEX2","UGCG"
"TGFBR1","GAS6","ECHDC1","SEPTIN10","PLEKHG2","HMGA1","GBP2"
"DSC2","ARPIN","SMIM30","LINC00970","TP53BP2","SEC61A1","TOR1B"
"ELK3","TNFSF12","COA6","ACYP2","LINC00910","PDE7A","FPR2"
"LSM10","TPD52","BCAR3","ATL1","ICAM1","DRAM1","FCN1"
"FAM200B","XPC","NDUFB7","AKR1B1","SLC16A10","AGAP3","EAF1"
"FGL2","KHDRBS2","IDH1","AMOTL1","TRIB1","VAC14","ZNF267"
"C12orf45","GANC","GALC","CLDN7","VAV1","GLMP","NUP50-DT"
"NDUFA12","PALD1","HMOX2","PDGFC","HPSE","TSPAN4","UBE2L6"
"TMEM131L","CRTAP","IMPAD1","SELPLG","IDO1","TMEM163","DNAAF1"
"LMO4","CDK6","STIM1","BACE1","AGAP3","ATP6V1C1","RNF24"
