CHI3L1,MMP9,CHIT1,SPP1
0.04375323279096657,0.6622832034288076,0,2.0987444230106345
0.11242523886332392,0.27558640780560173,0.03889649294770818,2.1535362337680426
0.07399358861571982,1.1228486494826533,0,3.363757310982416
0,0.6816277204451225,0,3.98628854762893
0,0,0,1.494202859896692
0.35745058571674215,0.4371009164689833,0.08516736345680419,1.9772635311863136
0.18881909906475036,1.8965940558450747,0,2.827219912984268
1.1010297138941043,0.7165055542224831,0,2.0438092995220027
0.49694094364160535,1.1328063718429326,0.1807011281408539,1.9725914633506216
1.1228941554570577,1.5441381783383132,0.17829284190094508,3.224004348723474
1.4925689471293846,1.4204172028150122,0.464471444530412,3.034482590432658
0.5870006451516318,1.051998093643781,0.23601652993265076,4.335108661865617
0.12592869186131556,0.7506346813287751,0.357285641686128,3.188893061400624
0.8252858894574118,0.9860260176325839,0.33506235202347584,2.322275850080365
0.9647600232668888,1.4363571792714485,0.7621721336625297,3.5998836838586694
0.5872312140476317,1.054521447279076,0.12363262828436031,1.9022721883085987
1.1660950741174096,1.269604667022328,0.04978306634932601,3.18042109543394
0.9203205950470232,0,1.5634437030493507,0
0.9157168810106019,1.113534247421806,0.23463944794220315,3.5191843973508274
0.6907863387588458,0.9347269506107477,0.06663407611733582,2.548685978849422
0.6207378503642651,1.2993549339187243,0.14024228592819116,3.183956138643713
0.09748850741328452,0.4789588069684412,0.07274078428652046,2.4271104813856335
