Reference,RecM subset,Min,1st Quatile,Median,3rd Quatile,Max value,Mean,-log10(p),-log10(p.adj)
Present,Mono,-0.29281580570171,-0.17272185119454,-0.131866407576665,-0.0818369180372666,0.221640390047002,-0.12467920835886,0,0
Present,MDM-IV,-0.286392082462538,-0.141756295443279,-0.0967143938427043,-0.0348925029462005,0.182890745620868,-0.0864218277298285,0,0
Present,MDM-FABP4lo,-0.309910568953158,-0.192937155330466,-0.152385835978839,-0.109590222149377,0.493632487914718,-0.143418030492839,0,0
Present,MDM-FABP4hi,-0.321401824369138,-0.19520459288999,-0.154906312029579,-0.0918712041473055,0.512042926417546,-0.133464059215494,0,0
Present,MDM-inflam,-0.203283477060237,0.014086913150554,0.0903312732049403,0.191236247014254,0.549252238424789,0.106818428748621,126.872895201635,126.504455662454
Present,MDM-PLA2G7hi,-0.206339911188554,0.136986629988944,0.281201832062581,0.413280886051627,0.986086810022636,0.281883821740471,>300,>300
Present,IM,-0.203515738695358,0.0174547133678954,0.101230025703482,0.20592481688967,0.660394742090713,0.124052666702551,274.414539270492,273.869666231505
Li,Mono,-0.288928831032215,-0.130715609000532,-0.0664403469548871,0.0105932115448909,0.383572361105094,-0.0535153785340562,0,0
Li,MDM-IV,-0.243032484344186,0.0213185121248971,0.102801920124048,0.178324820033466,0.56157075009642,0.10871938253448,37.2692177243336,37.0259490972071
Li,MDM-FABP4lo,-0.358548749160944,-0.207153353020501,-0.159890534900337,-0.0953429994860119,0.568960855231352,-0.137392780273687,0,0
Li,MDM-FABP4hi,-0.364966802128186,-0.251226012808992,-0.203669511175318,-0.12409055367788,0.593885581656446,-0.17763726960891,0,0
Li,MDM-inflam,-0.288720753845845,0.0480357442361003,0.149454173034086,0.251414341811299,0.66407384427467,0.154694675809751,97.3496924768681,96.9829666607012
Li,MDM-PLA2G7hi,-0.202166594616336,0.176799493996873,0.301562637857779,0.424082647884103,0.884086493545694,0.303652392307447,>300,>300
Li,IM,-0.227353086066339,0.148417079350616,0.237716645119698,0.329172823465613,0.779349105490307,0.243688617616551,>300,>300
Wendisch,Mono,-0.266748476953512,-0.0598093996435451,0.00775039604460576,0.0974962761736759,0.566953204587354,0.0265382435662965,0,0
Wendisch,MDM-IV,-0.139586221856472,0.224935297672152,0.340453788731232,0.464578410343294,0.968600997219099,0.343595861061859,158.002613615603,157.634512015109
Wendisch,MDM-FABP4lo,-0.317403798348669,-0.103021668729786,-0.0444275036662336,0.0319540153633515,1.00069754273764,-0.0170321053673326,0,0
Wendisch,MDM-FABP4hi,-0.318969716757857,-0.13810568215633,-0.0790447426632754,-0.00147769914416185,0.533390808358783,-0.062232039688964,0,0
Wendisch,MDM-inflam,-0.213332678698132,0.0208728805695261,0.0996174329354539,0.182511276443887,0.752677447537554,0.109426156644917,13.2749054789185,13.0319842860064
Wendisch,MDM-PLA2G7hi,-0.18623884483265,0.211075799436337,0.337195602587716,0.467773745410754,1.09945799704953,0.346914230661525,>300,>300
Wendisch,IM,-0.251983862240773,0.0858033835122254,0.19637660888975,0.323178393499461,0.975475706887014,0.217873990909367,181.150580586203,180.60730304674
Liao,Mono,-0.303758096483444,-0.0523842796448693,0.0364055644475544,0.13664974336527,0.718721469611282,0.048910129509725,0,0
Liao,MDM-IV,-0.126973251424982,0.200536176675781,0.31526303262783,0.443107373948635,0.916355719380663,0.329876803601471,86.568636235841,86.0245681914907
Liao,MDM-FABP4lo,-0.342142361347984,-0.0658376270370482,0.0163412146596847,0.108289220686452,1.10314623764551,0.036180512203284,0,0
Liao,MDM-FABP4hi,-0.329015712603751,-0.080441846663467,0.00114274059663722,0.105387733374493,0.85301012001171,0.0234423942031045,0,0
Liao,MDM-inflam,-0.253712940380906,0.0407978930857387,0.146076224102699,0.253882695466428,0.770131349027634,0.153369030950926,4.40120949323688,4.15801519540989
Liao,MDM-PLA2G7hi,-0.176146922441452,0.302560336723598,0.478582608842299,0.646533186140595,1.26953136261604,0.475405771524631,>300,>300
Liao,IM,-0.26743035886925,0.0667873970236441,0.207657902461855,0.393944801501916,1.08749257858926,0.237575395062376,60.2062096153092,59.838631997765
Morrell,Mono,-0.279443898031888,-0.0509498625837007,0.0353023564336945,0.142676360842089,0.713860690822871,0.0601123973170377,0,0
Morrell,MDM-IV,-0.150617887755013,0.203020242738137,0.333351337758165,0.467105068353262,0.963496819143979,0.337083110770403,129.795880017344,129.251811972994
Morrell,MDM-FABP4lo,-0.358732407592208,-0.0306290780367059,0.0529247953431361,0.141823863873501,1.00617122571751,0.0644936964613161,0,0
Morrell,MDM-FABP4hi,-0.298704116361072,0.00643327274817436,0.076487482472923,0.153369403534121,0.713887154395606,0.0847625970572476,0,0
Morrell,MDM-inflam,-0.254467938705336,-0.0361044339552762,0.0604213286200678,0.14688083194675,0.631295785149011,0.0666350251888043,0,0
Morrell,MDM-PLA2G7hi,-0.23166204061297,0.126260662693187,0.278547857372093,0.444296684609983,1.14254730569352,0.292903149327801,>300,>300
Morrell,IM,-0.316926951393671,0.0309712762380624,0.118049289902995,0.233706539635942,0.757146804275827,0.139496648312298,5.14508697769214,4.77728352885242
